"disease_id","disease_term"
"OMIM:200150","Choreoacanthocytosis"
"OMIM:209850","Autism"
"ORPHA:139399","Adrenomyeloneuropathy"
"ORPHA:66624","Pandas"
"ORPHA:213","Cystinosis"
"ORPHA:79155","Hydroxykynureninuria"
"OMIM:157800","Cardiospondylocarpofacial Syndrome"
"OMIM:243910","Arima Syndrome"
"OMIM:300855","Ogden Syndrome"
"OMIM:259050","Primrose Syndrome"
"OMIM:602440","Amyotrophy, Monomelic"
"ORPHA:261494","Kleefstra Syndrome"
"OMIM:214800","Charge Syndrome"
"OMIM:619297","Kinsship Syndrome"
"ORPHA:276432","Ogden Syndrome"
"ORPHA:107","Bor Syndrome"
"ORPHA:138","Charge Syndrome"
"OMIM:619648","Zaki Syndrome"
"OMIM:619869","Neurocardiofaciodigital Syndrome"
"ORPHA:561854","Foxg1 Syndrome"
"ORPHA:488618","Transketolase Deficiency"
"ORPHA:49","Penile Agenesis"
"ORPHA:648","Noonan Syndrome"
"ORPHA:649","Norrie Disease"
"ORPHA:247245","Superficial Siderosis"
"ORPHA:95","Friedreich Ataxia"
"ORPHA:778","Rett Syndrome"
"ORPHA:85278","Christianson Syndrome"
"ORPHA:87","Apert Syndrome"
"ORPHA:319671","Alazami Syndrome"
"ORPHA:705","Pendred Syndrome"
"ORPHA:71272","Sandifer Syndrome"
"OMIM:147920","Kabuki Syndrome 1"
"OMIM:220200","Dandy-Walker Syndrome"
"OMIM:239500","Hyperprolinemia, Type I"
"DECIPHER:45","Xq28 (MECP2) duplication"
"DECIPHER:8","Smith-Magenis syndrome"
"OMIM:109150","Machado-Joseph Disease"
"OMIM:113650","Branchiootorenal Syndrome 1"
"OMIM:182290","Smith-Magenis Syndrome"
"OMIM:183090","Spinocerebellar Ataxia 2"
"OMIM:194190","Wolf-Hirschhorn Syndrome"
"OMIM:301094","Hijazi-Reis Syndrome"
"OMIM:300624","Fragile X Syndrome"
"OMIM:301029","Shukla-Vernon Syndrome"
"OMIM:309000","Lowe Oculocerebrorenal Syndrome"
"OMIM:257550","Ocular Motor Apraxia"
"OMIM:602588","Branchiootic Syndrome 1"
"OMIM:164400","Spinocerebellar Ataxia 1"
"OMIM:606232","Phelan-Mcdermid Syndrome"
"ORPHA:261183","15Q11.2 Microdeletion Syndrome"
"OMIM:619312","Radio-Tartaglia Syndrome"
"ORPHA:228384","5Q14.3 Microdeletion Syndrome"
"ORPHA:228402","2Q23.1 Microdeletion Syndrome"
"ORPHA:167","Chédiak-Higashi Syndrome"
"ORPHA:168782","Childhood Disintegrative Disorder"
"OMIM:610253","Kleefstra Syndrome 1"
"OMIM:610688","Joubert Syndrome 6"
"OMIM:610883","Potocki-Lupski Syndrome"
"OMIM:610954","Pitt-Hopkins Syndrome"
"OMIM:614063","N-Acetylaspartate Deficiency"
"OMIM:615485","Bainbridge-Ropers Syndrome"
"OMIM:615574","Asparagine Synthetase Deficiency"
"OMIM:617682","Pilarowski-Bjornsson Syndrome"
"OMIM:615960","Poretti-Boltshauser Syndrome"
"OMIM:618218","Baker-Gordon Syndrome"
"OMIM:616268","Arboleda-Tham Syndrome"
"OMIM:616364","White-Sutton Syndrome"
"ORPHA:1435","Xq21 Microdeletion Syndrome"
"ORPHA:1606","1P36 Deletion Syndrome"
"ORPHA:1727","22Q11.2 Duplication Syndrome"
"ORPHA:10","48, Xxyy Syndrome"
"ORPHA:1001","2Q37 Microdeletion Syndrome"
"ORPHA:100973","Fraxe Intellectual Disability"
"OMIM:619695","Rauch-Steindl Syndrome"
"ORPHA:580","Mucopolysaccharidosis Type 2"
"ORPHA:468678","White-Sutton Syndrome"
"ORPHA:50815","Branchiogenic Deafness Syndrome"
"ORPHA:52368","Mohr-Tranebjaerg Syndrome"
"ORPHA:530983","Lamb-Shaffer Syndrome"
"ORPHA:35125","Epidermal Nevus Syndrome"
"ORPHA:382","Guanidinoacetate Methyltransferase Deficiency"
"ORPHA:64280","Childhood Absence Epilepsy"
"ORPHA:208447","Bilateral Generalized Polymicrogyria"
"ORPHA:2152","Mowat-Wilson Syndrome"
"ORPHA:217253","Nmda Receptor Encephalitis"
"ORPHA:251061","7Q31 Microdeletion Syndrome"
"ORPHA:238750","4Q21 Microdeletion Syndrome"
"ORPHA:819","Smith-Magenis Syndrome"
"ORPHA:96121","7Q11.23 Microduplication Syndrome"
"ORPHA:96148","Distal Deletion 10Q"
"ORPHA:79414","Woolly Hair Nevus"
"ORPHA:319182","Wiedemann-Steiner Syndrome"
"ORPHA:435638","3P25.3 Microdeletion Syndrome"
"ORPHA:35689","Primary Lateral Sclerosis"
"ORPHA:90646","Deafness-Hypogonadism Syndrome"
"ORPHA:99965","O'Sullivan-Mcleod Syndrome"
"OMIM:245348","Pyruvate Dehydrogenase E2 Deficiency"
"OMIM:249000","Meckel Syndrome, Type 1"
"OMIM:123450","Cri-Du-Chat Syndrome"
"OMIM:304400","Deafness, X-Linked 2"
"OMIM:301030","Van Esch-O'Driscoll Syndrome"
"OMIM:172700","Pick Disease Of Brain"
"OMIM:607373","Autism, Susceptibility To, 8"
"OMIM:607453","Deafness, Autosomal Dominant 44"
"ORPHA:261197","Proximal 16P11.2 Microdeletion Syndrome"
"OMIM:619325","Coffin-Siris Syndrome 12"
"OMIM:619435","Ritscher-Schinzel Syndrome 4"
"ORPHA:293939","Distal Xq28 Microduplication Syndrome"
"ORPHA:3233","Cochleosaccular Degeneration-Cataract Syndrome"
"OMIM:613174","Chromosome 5P13 Duplication Syndrome"
"OMIM:613454","Rett Syndrome, Congenital Variant"
"OMIM:608049","Autism, Susceptibility To, 3"
"OMIM:609425","Chromosome 3Q29 Deletion Syndrome"
"OMIM:611584","Waardenburg Syndrome, Type 2E"
"OMIM:600430","Chromosome 2Q37 Deletion Syndrome"
"OMIM:614175","Meckel Syndrome, Type 10"
"OMIM:615656","Chromosome 15Q11.2 Deletion Syndrome"
"OMIM:617435","Lopes-Maciel-Rodan Syndrome"
"OMIM:617695","Pontocerebellar Hypoplasia, Type 11"
"OMIM:618205","Snijders Blok-Campeau Syndrome"
"OMIM:618778","Deafness, Autosomal Dominant 75"
"OMIM:618915","Deafness, Autosomal Dominant 77"
"OMIM:618347","Galloway-Mowat Syndrome 6"
"OMIM:618354","Houge-Janssens Syndrome 3"
"OMIM:617808","Coffin-Siris Syndrome 6"
"OMIM:618013","Deafness, Autosomal Recessive 109"
"OMIM:618027","Coffin-Siris Syndrome 7"
"OMIM:619274","Deafness, Autosomal Dominant 80"
"ORPHA:157941","Huntington Disease-Like 1"
"ORPHA:157946","Huntington Disease-Like 3"
"ORPHA:18","Distal Renal Tubular Acidosis"
"ORPHA:139431","Epilepsy With Eyelid Myoclonia"
"OMIM:620642","Ciliary Dyskinesia, Primary, 53"
"OMIM:619690","Brunet-Wagner Neurodevelopmental Syndrome"
"OMIM:619877","Dentici-Novelli Neurodevelopmental Syndrome"
"OMIM:620280","Deafness, Autosomal Dominant 86"
"OMIM:620281","Deafness, Autosomal Dominant 87"
"ORPHA:534","Oculocerebrorenal Syndrome Of Lowe"
"ORPHA:397612","Macrocephaly-Developmental Delay Syndrome"
"ORPHA:217","Isolated Dandy-Walker Malformation"
"ORPHA:2479","Megalocornea-Intellectual Disability Syndrome"
"ORPHA:251347","Ataxia-Telangiectasia-Like Disorder"
"ORPHA:231169","Usher Syndrome Type 1"
"ORPHA:231183","Usher Syndrome Type 3"
"ORPHA:98807","Primary Dystonia, Dyt13 Type"
"ORPHA:79136","Episodic Ataxia Type 4"
"ORPHA:309246","Gm2 Gangliosidosis, Ab Variant"
"ORPHA:434179","Orofaciodigital Syndrome Type 14"
"ORPHA:363722","Alexander Disease Type Ii"
"OMIM:219090","Pituitary Adenoma 4, Acth-Secreting"
"OMIM:300672","Developmental And Epileptic Encephalopathy 2"
"OMIM:602433","Amyotrophic Lateral Sclerosis 4, Juvenile"
"OMIM:300352","Cerebral Creatine Deficiency Syndrome 1"
"OMIM:213200","Spinocerebellar Ataxia, Autosomal Recessive 2"
"OMIM:619293","Blepharophimosis-Impaired Intellectual Development Syndrome"
"OMIM:619317","Developmental And Epileptic Encephalopathy 6B"
"OMIM:271250","Spinocerebellar Ataxia, Autosomal Recessive 3"
"ORPHA:275864","Behavioral Variant Of Frontotemporal Dementia"
"ORPHA:276238","Machado-Joseph Disease Type 1"
"ORPHA:276241","Machado-Joseph Disease Type 2"
"ORPHA:276244","Machado-Joseph Disease Type 3"
"ORPHA:171680","Lissencephaly Due To Tuba1A Mutation"
"ORPHA:329308","Fatty Acid Hydroxylase-Associated Neurodegeneration"
"ORPHA:3306","Inverted Duplicated Chromosome 15 Syndrome"
"OMIM:614831","Spinocerebellar Ataxia, Autosomal Recessive 13"
"OMIM:607625","Niemann-Pick Disease, Type C2"
"OMIM:608631","Asperger Syndrome, Susceptibility To, 2"
"OMIM:608636","Chromosome 15Q11-Q13 Duplication Syndrome"
"OMIM:608638","Asperger Syndrome, Susceptibility To, 1"
"OMIM:612020","Spastic Paraplegia 39, Autosomal Recessive"
"OMIM:610042","Pitt-Hopkins-Like Syndrome 1"
"OMIM:613886","Obesity, Hyperphagia, And Developmental Delay"
"OMIM:615873","Helsmoortel-Van Der Aa Syndrome"
"OMIM:616341","Developmental And Epileptic Encephalopathy 30"
"OMIM:617830","Developmental And Epileptic Encephalopathy 58"
"OMIM:618004","Developmental And Epileptic Encephalopathy 64"
"OMIM:618067","Developmental And Epileptic Encephalopathy 66"
"OMIM:619621","Spastic Paraplegia 84, Autosomal Recessive"
"OMIM:619777","Developmental And Epileptic Encephalopathy 100"
"OMIM:620033","Developmental And Epileptic Encephalopathy 107"
"OMIM:620208","Spinocerebellar Ataxia, Autosomal Recessive 33"
"ORPHA:464306","Dyrk1A-Related Intellectual Disability Syndrome"
"ORPHA:208441","Bilateral Parasagittal Parieto-Occipital Polymicrogyria"
"ORPHA:240103","Progressive Supranuclear Palsy-Corticobasal Syndrome"
"ORPHA:71518","Benign Paroxysmal Torticollis Of Infancy"
"ORPHA:363558","New-Onset Refractory Status Epilepticus"
"ORPHA:99027","Adult-Onset Autosomal Dominant Leukodystrophy"
"OMIM:220220","Dandy-Walker Malformation With Postaxial Polydactyly"
"OMIM:300912","Intellectual Developmental Disorder, X-Linked 98"
"OMIM:309548","Intellectual Developmental Disorder, X-Linked 109"
"OMIM:300271","Intellectual Developmental Disorder, X-Linked 72"
"OMIM:300425","Autism, Susceptibility To, X-Linked 1"
"OMIM:300495","Autism, Susceptibility To, X-Linked 2"
"OMIM:300496","Autism, Susceptibility To, X-Linked 3"
"ORPHA:261144","Foxg1 Syndrome Due To 14Q12 Microdeletion"
"OMIM:212065","Congenital Disorder Of Glycosylation, Type Ia"
"OMIM:212066","Congenital Disorder Of Glycosylation, Type Iia"
"OMIM:619428","Focal Segmental Glomerulosclerosis And Neurodevelopmental Syndrome"
"ORPHA:2822","Autosomal Recessive Spastic Paraplegia Type 11"
"OMIM:607459","Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis"
"OMIM:612474","Chromosome 1Q21.1 Deletion Syndrome, 1.35-Mb"
"OMIM:614104","Intellectual Developmental Disorder, Autosomal Dominant 7"
"OMIM:615502","Intellectual Developmental Disorder, Autosomal Dominant 21"
"OMIM:615516","Intellectual Developmental Disorder, Autosomal Recessive 38"
"OMIM:615541","Intellectual Developmental Disorder, Autosomal Recessive 39"
"OMIM:615637","Intellectual Developmental Disorder, Autosomal Recessive 41"
"OMIM:617330","Hypotonia, Ataxia, And Delayed Development Syndrome"
"OMIM:617600","Intellectual Developmental Disorder, Autosomal Dominant 45"
"OMIM:617270","Intellectual Developmental Disorder, Autosomal Recessive 58"
"OMIM:616682","Seizures, Scoliosis, And Macrocephaly/Microcephaly Syndrome"
"OMIM:616939","Chorea, Childhood-Onset, With Psychomotor Retardation"
"OMIM:616269","Intellectual Developmental Disorder, Autosomal Recessive 48"
"OMIM:616351","Intellectual Developmental Disorder, Autosomal Dominant 34"
"OMIM:616393","Intellectual Developmental Disorder, Autosomal Dominant 38"
"OMIM:618914","Neurodevelopmental, Jaw, Eye, And Digital Syndrome"
"OMIM:618504","Intellectual Developmental Disorder, Autosomal Recessive 71"
"OMIM:617751","Intellectual Developmental Disorder, Autosomal Dominant 48"
"OMIM:617796","Intellectual Developmental Disorder, Autosomal Dominant 52"
"OMIM:619229","Den Hoed-De Boer-Voisin Syndrome"
"ORPHA:177907","Prader-Willi Syndrome Due To Translocation"
"ORPHA:1170","Autosomal Recessive Cerebelloparenchymal Disorder Type 3"
"ORPHA:139480","Autosomal Recessive Spastic Paraplegia Type 39"
"ORPHA:100924","Porphyria Due To Ala Dehydratase Deficiency"
"ORPHA:100986","Autosomal Recessive Spastic Paraplegia Type 5A"
"ORPHA:101085","Charcot-Marie-Tooth Disease Type 1F"
"OMIM:619717","Intellectual Developmental Disorder, Autosomal Recessive 73"
"ORPHA:544254","Syngap1-Related Developmental And Epileptic Encephalopathy"
"ORPHA:572798","Wars2-Related Combined Oxidative Phosphorylation Defect"
"ORPHA:447757","Autosomal Dominant Spastic Paraplegia Type 9B"
"ORPHA:370959","Congenital Muscular Dystrophy With Cerebellar Involvement"
"ORPHA:251282","Autosomal Dominant Spastic Ataxia Type 1"
"ORPHA:98784","Autosomal Dominant Nocturnal Frontal Lobe Epilepsy"
"ORPHA:79282","Methylmalonic Acidemia With Homocystinuria, Type Cblc"
"ORPHA:85277","X-Linked Intellectual Disability, Cantagrel Type"
"ORPHA:70595","Sensory Ataxic Neuropathy-Dysarthria-Ophthalmoparesis Syndrome"
"ORPHA:357058","Autosomal Recessive Cutis Laxa Type 2A"
"OMIM:300614","Deafness, X-Linked 5, With Peripheral Neuropathy"
"ORPHA:261537","Mowat-Wilson Syndrome Due To Monosomy 2Q22"
"OMIM:619475","Developmental Delay, Impaired Speech, And Behavioral Abnormalities"
"OMIM:619512","Neurodevelopmental Disorder With Hypotonia And Brain Abnormalities"
"ORPHA:280763","Severe Intellectual Disability And Progressive Spastic Paraplegia"
"OMIM:619054","Mitochondrial Complex Iv Deficiency, Nuclear Type 11"
"OMIM:620786","Basal Ganglia Calcification, Idiopathic, 9, Autosomal Recessive"
"OMIM:620065","Developmental Delay, Behavioral Abnormalities, And Neuropsychiatric Disorders"
"OMIM:620141","Developmental Delay, Language Impairment, And Ocular Abnormalities"
"ORPHA:457279","Intellectual Disability-Macrocephaly-Hypotonia-Behavioral Abnormalities Syndrome"
"ORPHA:395","Homocystinuria Due To Methylene Tetrahydrofolate Reductase Deficiency"
"ORPHA:247815","Autosomal Recessive Ataxia Due To Pex10 Deficiency"
"ORPHA:86822","Lissencephaly Type 3-Metacarpal Bone Dysplasia Syndrome"
"ORPHA:3077","X-Linked Intellectual Disability-Psychosis-Macroorchidism Syndrome"
"ORPHA:3078","Severe X-Linked Intellectual Disability, Gustavson Type"
"ORPHA:411511","Angelman Syndrome Due To A Point Mutation"
"ORPHA:436151","Intellectual Disability-Expressive Aphasia-Facial Dysmorphism Syndrome"
"ORPHA:352490","Autism Spectrum Disorder Due To Auts2 Deficiency"
"ORPHA:353277","Rubinstein-Taybi Syndrome Due To Crebbp Mutations"
"ORPHA:353281","Rubinstein-Taybi Syndrome Due To 16P13.3 Microdeletion"
"ORPHA:353284","Rubinstein-Taybi Syndrome Due To Ep300 Haploinsufficiency"
"ORPHA:927","Hyperammonemia Due To N-Acetylglutamate Synthase Deficiency"
"OMIM:300986","Intellectual Developmental Disorder, X-Linked, Syndromic, Bain Type"
"OMIM:301040","Alpha-Thalassemia/Impaired Intellectual Development Syndrome, X-Linked"
"OMIM:309590","Intellectual Developmental Disorder, X-Linked, Syndromic, Turner Type"
"OMIM:256840","Neuropathy, Hereditary Sensory, With Spastic Paraplegia, Autosomal Recessive"
"OMIM:300260","Intellectual Developmental Disorder, X-Linked, Syndromic, Lubs Type"
"OMIM:300486","Intellectual Developmental Disorder, X-Linked, Syndromic, Billuart Type"
"OMIM:606053","Intellectual Developmental Disorder With Autism And Speech Delay"
"OMIM:619306","Neurodevelopmental Disorder With Dysmorphic Facies And Cerebellar Hypoplasia"
"OMIM:614756","Cerebellar Dysfunction With Variable Cognitive And Behavioral Abnormalities"
"OMIM:600791","Deafness, Autosomal Recessive 4, With Enlarged Vestibular Aqueduct"
"OMIM:600795","Frontotemporal Dementia And/Or Amyotrophic Lateral Sclerosis 7"
"OMIM:615282","Cortical Dysplasia, Complex, With Other Brain Malformations 2"
"OMIM:615771","Cortical Dysplasia, Complex, With Other Brain Malformations 6"
"OMIM:617044","Short Stature, Developmental Delay, And Congenital Heart Defects"
"OMIM:617061","Intellectual Developmental Disorder, Autosomal Dominant 44, With Microcephaly"
"OMIM:617101","Intellectual Developmental Disorder With Persistence Of Fetal Hemoglobin"
"OMIM:618147","Intellectual Developmental Disorder With Hypertelorism And Distinctive Facies"
"OMIM:618825","Intellectual Developmental Disorder, Autosomal Dominant 63, With Macrocephaly"
"OMIM:618917","Neurodevelopmental Disorder With Language Impairment And Behavioral Abnormalities"
"OMIM:618497","Neurodevelopmental Disorder With Seizures And Nonepileptic Hyperkinetic Movements"
"OMIM:617802","Neurodevelopmental Disorder With Microcephaly, Seizures, And Cortical Atrophy"
"OMIM:617862","Neurodevelopmental Disorder With Microcephaly, Epilepsy, And Brain Atrophy"
"OMIM:619121","Neurodevelopmental Disorder With Cardiomyopathy, Spasticity, And Brain Abnormalities"
"OMIM:619150","Intellectual Developmental Disorder With Paroxysmal Dyskinesia Or Seizures"
"OMIM:620021","Intellectual Developmental Disorder With Autism And Dysmorphic Facies"
"OMIM:620242","Neurodevelopmental Disorder With Poor Growth And Behavioral Abnormalities"
"ORPHA:457240","X-Linked Intellectual Disability-Short Stature-Overweight Syndrome"
"ORPHA:466768","Autosomal Dominant Charcot-Marie-Tooth Disease Type 2Z"
"ORPHA:508533","Skeletal Dysplasia-T-Cell Immunodeficiency-Developmental Delay Syndrome"
"ORPHA:513456","Intellectual Disability-Seizures-Abnormal Gait-Facial Dysmorphism Syndrome"
"ORPHA:529965","Intellectual Disability-Autism-Speech Apraxia-Craniofacial Dysmorphism Syndrome"
"ORPHA:370022","Ataxia-Intellectual Disability-Oculomotor Apraxia-Cerebellar Cysts Syndrome"
"ORPHA:647799","Myt1L-Related Developmental Delay-Intellectual Disability-Obesity Syndrome"
"ORPHA:313892","Developmental And Speech Delay Due To Sox5 Deficiency"
"ORPHA:369837","Intellectual Disability-Seizures-Hypophosphatasia-Ophthalmic-Skeletal Anomalies Syndrome"
"ORPHA:261552","Mowat-Wilson Syndrome Due To A Zeb2 Point Mutation"
"ORPHA:300570","Cortical Dysgenesis With Pontocerebellar Hypoplasia Due To Tubb3 Mutation"
"OMIM:612069","Amyotrophic Lateral Sclerosis 10 With Or Without Frontotemporal Dementia"
"OMIM:616579","Neurodevelopmental Disorder With Hypotonia, Impaired Language, And Dysmorphic Features"
"OMIM:615802","Neurodevelopmental Disorder With Dysmorphic Features, Spasticity, And Brain Abnormalities"
"OMIM:618718","Neurodevelopmental Disorder With Behavioral Abnormalities, Absent Speech, And Hypotonia"
"OMIM:619005","Neurodevelopmental Disorder With Dysmorphic Facies, Impaired Speech, And Hypotonia"
"OMIM:618430","Developmental Delay With Variable Intellectual Impairment And Behavioral Abnormalities"
"OMIM:618653","Intellectual Developmental Disorder With Impaired Language And Dysmorphic Facies"
"OMIM:617787","Intellectual Developmental Disorder, Autosomal Dominant 50, With Behavioral Abnormalities"
"OMIM:620719","Neurodevelopmental Disorder With Motor Abnormalities, Seizures, And Facial Dysmorphism"
"OMIM:620747","Neurodevelopmental Disorder With Early-Onset Parkinsonism And Behavioral Abnormalities"
"OMIM:620502","Neurodevelopmental Disorder With Language Delay And Variable Cognitive Abnormalities"
"OMIM:619522","Neurodevelopmental-Craniofacial Syndrome With Variable Renal And Cardiac Abnormalities"
"OMIM:620330","Intellectual Developmental Disorder, Autosomal Dominant 71, With Behavioral Abnormalities"
"ORPHA:445062","Juvenile-Onset Diabetes Mellitus-Central And Peripheral Neurodegeneration Syndrome"
"ORPHA:447997","Spastic Tetraplegia-Thin Corpus Callosum-Progressive Postnatal Microcephaly Syndrome"
"ORPHA:449291","Symptomatic Form Of Fragile X Syndrome In Female Carriers"
"ORPHA:464311","Intellectual Disability Syndrome Due To A Dyrk1A Point Mutation"
"ORPHA:468631","Microcephalic Cortical Malformations-Short Stature Due To Rttn Deficiency"
"ORPHA:476126","Micrognathia-Recurrent Infections-Behavioral Abnormalities-Mild Intellectual Disability Syndrome"
"ORPHA:508498","Intellectual Disability-Cardiac Anomalies-Short Stature-Joint Laxity Syndrome"
"ORPHA:522077","Infantile Hypotonia-Oculomotor Anomalies-Hyperkinetic Movements-Developmental Delay Syndrome"
"OMIM:300749","Intellectual Developmental Disorder With Microcephaly And Pontine And Cerebellar Hypoplasia"
"OMIM:619470","Neurodevelopmental Disorder With Motor And Speech Delay And Behavioral Abnormalities"
"OMIM:613443","Neurodevelopmental Disorder With Hypotonia, Stereotypic Hand Movements, And Impaired Language"
"OMIM:609136","Peripheral Demyelinating Neuropathy, Central Dysmyelination, Waardenburg Syndrome, And Hirschsprung Disease"
"OMIM:618342","Intellectual Developmental Disorder With Abnormal Behavior, Microcephaly, And Short Stature"
"OMIM:617903","Neurodevelopmental Disorder With Poor Language And Loss Of Hand Skills"
"OMIM:619092","Neurodevelopmental Disorder With Microcephaly, Impaired Language, Epilepsy, And Gait Abnormalities"
"OMIM:619103","Neurodevelopmental Disorder With Dysmorphic Facies, Sleep Disturbance, And Brain Abnormalities"
"OMIM:620494","Neurodevelopmental Disorder With Impaired Language, Behavioral Abnormalities, And Dysmorphic Facies"
"OMIM:619575","Developmental Delay With Or Without Intellectual Impairment Or Behavioral Abnormalities"
"OMIM:619725","Neurodevelopmental Disorder With Or Without Variable Movement Or Behavioral Abnormalities"
"OMIM:620073","Neurodevelopmental Disorder With Dysmorphic Facies And Skeletal And Brain Abnormalities"
"ORPHA:391307","Severe Intellectual Disability-Short Stature-Behavioral Abnormalities-Facial Dysmorphism Syndrome"
"OMIM:301044","Developmental And Epileptic Encephalopathy 85 With Or Without Midline Brain Defects"
"OMIM:617393","Neurodevelopmental Disorder With Epilepsy, Cataracts, Feeding Difficulties, And Delayed Brain Myelination"
"OMIM:618709","Neurodevelopmental Disorder With Nonspecific Brain Abnormalities And With Or Without Seizures"
"OMIM:617820","Neurodevelopmental Disorder With Or Without Hyperkinetic Movements And Seizures, Autosomal Recessive"
"OMIM:620469","Cranial Dysinnervation Disorder, Congenital, With Absent Corneal Reflex And Developmental Delay"
